City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Grand Gaube,3,MU,1624628483,60,-20.0064,57.6608,75.6,5.99
Nacala,75,MZ,1624628483,61,-14.5428,40.6728,79.92,11.5
Dillon,100,US,1624628412,80,34.4166,-79.3712,76.66,8.88
Dikson,80,RU,1624628484,94,73.5069,80.5464,31.62,11.74
Ahome,42,MX,1624628484,84,25.9167,-109.1833,80.15,1.99
Brownsville,75,US,1624628206,85,25.9018,-97.4975,84.9,4.0
George Town,20,MY,1624628242,73,5.4112,100.3354,84.15,7.0
Cândido Mendes,3,BR,1624628485,57,-1.4467,-45.7167,86.31,5.53
Lompoc,90,US,1624628485,78,34.6391,-120.4579,61.79,0.0
Chu,100,KZ,1624628485,23,43.5983,73.7614,68.23,13.8
Tuatapere,54,NZ,1624628485,94,-46.1333,167.6833,48.81,2.26
Concepción del Oro,12,MX,1624628486,64,24.6333,-101.4167,64.15,5.17
Cidreira,0,BR,1624628486,65,-30.1811,-50.2056,61.14,12.08
Albany,100,US,1624628354,62,42.6001,-73.9662,70.61,3.24
Hualmay,59,PE,1624628486,78,-11.0964,-77.6139,63.73,8.7
Khatanga,100,RU,1624628487,43,71.9667,102.5,52.75,13.98
Namatanai,64,PG,1624628487,81,-3.6667,152.4333,79.5,6.55
Bukachacha,45,RU,1624628487,82,52.9833,116.9167,62.1,1.39
Atambua,46,ID,1624628488,89,-9.1061,124.8925,72.54,4.5
Nieuw Amsterdam,40,SR,1624628488,78,5.8833,-55.0833,85.01,6.91
Constitución,100,CL,1624628488,78,-35.3333,-72.4167,52.0,9.35
Cap Malheureux,2,MU,1624628488,60,-19.9842,57.6142,75.69,5.99
San Antonio,90,US,1624628331,84,29.4241,-98.4936,81.25,5.75
São Filipe,8,CV,1624628489,69,14.8961,-24.4956,78.06,6.29
Mahon,0,ES,1624628489,47,39.8885,4.2658,79.36,12.66
Drovyanaya,79,RU,1624628489,67,51.5833,113.0333,65.71,2.71
Saint-Philippe,11,RE,1624628490,78,-21.3585,55.7679,71.47,10.02
Bethel,90,US,1624628490,86,41.3712,-73.414,66.31,4.61
Broome,1,US,1624628490,65,42.2506,-75.833,70.63,1.99
Cherskiy,98,RU,1624628491,65,68.75,161.3,46.72,7.85
Laguna,1,US,1624628194,87,38.421,-121.4238,67.44,1.99
Mercedes,100,AR,1624628491,54,-34.6515,-59.4307,57.85,5.79
San Fernando del Valle de Catamarca,4,AR,1624628350,78,-28.4696,-65.7852,58.77,7.0
Winnemucca,1,US,1624628491,71,40.973,-117.7357,51.85,5.75
Zhangye,100,CN,1624628492,26,38.9342,100.4517,78.73,14.43
Falun,87,SE,1624628492,77,60.6036,15.626,69.22,3.78
Severo-Kuril'sk,100,RU,1624628492,98,50.6789,156.125,44.46,0.65
Denizli Province,0,TR,1624628210,21,37.8402,29.0698,92.25,14.47
Ribeira Grande,20,PT,1624628493,64,38.5167,-28.7,72.0,10.36
Hobart,75,AU,1624628493,96,-42.8794,147.3294,46.02,3.44
Vaini,75,TO,1624628493,83,-21.2,-175.2,69.96,12.66
Keti Bandar,0,PK,1624628493,79,24.1447,67.4497,83.71,23.58
San Ramon,90,US,1624628378,90,37.7799,-121.978,60.13,4.0
Puerto Ayora,98,EC,1624628494,95,-0.7393,-90.3518,71.55,7.0
Saldanha,0,ZA,1624628494,72,-33.0117,17.9442,62.65,25.9
Hoa Binh,98,VN,1624628494,82,20.8133,105.3383,82.29,3.42
Borogontsy,38,RU,1624628495,48,62.6683,131.1683,65.52,4.94
Faanui,3,PF,1624628495,79,-16.4833,-151.75,80.76,13.69
Sitka,90,US,1624628495,88,57.0531,-135.33,55.29,4.61
Meulaboh,100,ID,1624628496,91,4.1363,96.1285,76.03,8.97
Avarua,90,CK,1624628496,88,-21.2078,-159.775,75.25,6.91
Umluj,0,SA,1624628496,60,25.0213,37.2685,86.97,12.19
Port-Gentil,90,GA,1624628496,78,-0.7193,8.7815,80.56,12.66
Lebu,91,CL,1624628497,77,-37.6167,-73.65,49.87,9.51
Klaksvík,30,FO,1624628497,79,62.2266,-6.589,54.52,4.72
Provideniya,90,RU,1624628497,69,64.3833,-173.3,47.23,3.83
Fort Nelson,40,CA,1624628498,63,58.8053,-122.7002,63.99,3.44
Kununurra,75,AU,1624628498,56,-15.7667,128.7333,71.58,3.44
Vila Franca do Campo,100,PT,1624628498,87,37.7167,-25.4333,70.21,16.6
Ulagan,100,RU,1624628499,84,50.6321,87.9563,47.61,3.29
Alice Springs,75,AU,1624628357,81,-23.7,133.8833,44.15,5.75
Mar del Plata,0,AR,1624628350,66,-38.0023,-57.5575,55.87,1.99
Codrington,98,AU,1624628499,79,-38.2667,141.9667,50.61,10.94
Xiaoweizhai,100,CN,1624628499,98,26.1903,107.5125,71.96,3.18
Aitape,74,PG,1624628500,87,-3.1374,142.3475,77.7,5.26
Hofn,75,IS,1624628500,76,64.2539,-15.2082,53.62,21.85
Surskoye,14,RU,1624628500,58,54.4821,46.7214,88.29,5.55
Banjar,38,ID,1624628500,89,-8.19,114.9675,78.66,4.07
Alofi,37,NU,1624628501,88,-19.0595,-169.9187,71.49,13.8
Hirtshals,75,DK,1624628501,94,57.5881,9.9592,62.85,8.05
Isangel,40,VU,1624628501,81,-19.55,169.2667,72.64,14.72
Gazli,0,UZ,1624628502,9,40.1333,63.45,92.23,17.96
Vawkavysk,100,BY,1624628502,60,53.1561,24.4513,80.29,0.29
Amahai,26,ID,1624628502,87,-3.3333,128.9167,78.46,1.32
Thai Binh,94,VN,1624628502,76,20.45,106.3333,86.0,10.09
Māngrol,39,IN,1624628503,72,21.1167,70.1167,84.63,19.62
Domoni,14,KM,1624628503,66,-12.2569,44.5319,77.25,8.68
Mīāndoāb,93,IR,1624628503,6,36.9694,46.1027,102.58,9.1
Delcevo,96,MK,1624628235,29,41.9672,22.7694,93.52,3.6
Hailin,0,CN,1624628504,71,44.5833,129.4167,63.64,0.74
Okříšky,12,CZ,1624628504,61,49.2454,15.7696,76.3,1.99
Aquiraz,22,BR,1624628401,52,-3.9014,-38.3911,87.22,11.32
Châtellerault,87,FR,1624628504,48,46.8,0.5333,76.28,9.8
College,75,US,1624628505,71,64.8569,-147.8028,58.98,10.36
Seminole,1,US,1624628505,92,28.7086,-81.2081,81.05,0.0
Key West,40,US,1624628255,78,24.5557,-81.7826,84.0,12.66
Mut,20,TR,1624628505,22,36.6439,33.4389,94.73,15.05
Payo,86,ID,1624628506,89,-3.7508,103.6372,75.51,3.4
Katsuura,100,JP,1624628506,82,35.1333,140.3,74.1,3.94
Dingle,100,PH,1624628506,88,10.9995,122.6711,77.97,1.19
Upernavik,100,GL,1624628506,96,72.7868,-56.1549,38.91,18.66
Chokurdakh,4,RU,1624628507,44,70.6333,147.9167,66.67,8.43
Moyale,100,KE,1624628507,43,3.5167,39.0584,76.95,9.04
Nikolskoye,22,RU,1624628507,51,59.7035,30.7861,80.49,4.74
Roman,51,RO,1624628376,60,46.9167,26.9167,90.81,4.32
Airai,30,TL,1624628508,94,-8.9266,125.4092,59.14,2.75
Zhigansk,2,RU,1624628508,59,66.7697,123.3711,65.44,6.44
Dharampur,83,IN,1624628508,77,20.5333,73.1833,80.94,10.6
Tiznit Province,0,MA,1624628508,34,29.5833,-9.5,84.18,12.15
San Patricio,1,US,1624628509,75,28.017,-97.5169,86.09,15.7
Leningradskiy,90,RU,1624628509,81,69.3833,178.4167,34.48,8.97
Lorengau,100,PG,1624628509,79,-2.0226,147.2712,80.58,6.71
San Cristobal,100,VE,1624628510,63,7.7669,-72.225,69.98,4.03
Tilichiki,36,RU,1624628510,90,60.4667,166.1,47.64,1.5
Xining,65,CN,1624628510,62,36.6167,101.7667,63.43,3.65
New Norfolk,100,AU,1624628510,84,-42.7826,147.0587,45.66,1.39
Yellowknife,40,CA,1624628435,67,62.456,-114.3525,57.72,10.36
Tondano,34,ID,1624628511,91,1.3038,124.9112,71.69,1.63
Coquimbo,100,CL,1624628510,65,-29.9533,-71.3436,58.68,3.49
Kavieng,99,PG,1624628511,75,-2.5744,150.7967,82.0,9.66
Knysna,9,ZA,1624628511,34,-34.0363,23.0471,73.78,10.47
Rüthen,0,DE,1624628512,37,51.4909,8.436,69.69,6.91
Lanzhou,74,CN,1624628512,51,36.0564,103.7922,79.88,4.47
Balkanabat,0,TM,1624628512,10,39.5108,54.3671,106.99,10.47
Lashio,100,MM,1624628513,99,22.9333,97.75,70.32,1.41
Guerrero Negro,81,MX,1624628513,86,27.9769,-114.0611,65.05,11.88
Iquique,95,CL,1624628287,68,-20.2208,-70.1431,62.46,4.72
Baharly,1,TM,1624628513,12,38.4362,57.4316,101.77,17.74
Port Augusta,86,AU,1624628514,74,-32.5,137.7667,49.71,9.1
Husavik,100,IS,1624628514,50,66.0449,-17.3389,60.71,13.2
Cabedelo,41,BR,1624628514,65,-6.9811,-34.8339,83.07,19.48
Melilla,75,ES,1624628515,78,35.2937,-2.9383,73.78,11.5
Denia,4,ES,1624628515,71,38.8408,0.1057,82.85,15.01
Bhūm,100,IN,1624628515,69,18.4667,75.6667,78.84,13.85
Tshikapa,13,CD,1624628516,21,-6.4167,20.8,97.05,3.91
Channel-Port aux Basques,0,CA,1624628516,74,47.5702,-59.1367,57.69,8.23
Koszalin,100,PL,1624628481,75,54.1944,16.1722,68.68,6.93
Flin Flon,75,CA,1624628422,52,54.7682,-101.865,67.84,9.22
Tarakan,40,ID,1624628455,78,3.3,117.6333,81.9,3.44
Mauá,5,BR,1624628516,44,-23.6678,-46.4614,72.36,4.56
Mutatá,100,CO,1624628517,77,7.2441,-76.4356,80.49,2.3
Nikolayevsk-on-Amur,99,RU,1624628517,97,53.1406,140.73,54.0,2.82
Longyearbyen,75,SJ,1624628517,87,78.2186,15.6401,37.24,6.91
Kolokani,100,ML,1624628518,25,13.5728,-8.0339,98.89,11.01
Aransas Pass,1,US,1624628518,82,27.9095,-97.15,86.23,11.99
Fallon,40,US,1624628518,55,39.4735,-118.7774,67.44,4.61
Omsukchan,82,RU,1624628519,65,62.5333,155.8,55.98,4.25
Saint-Pierre,20,RE,1624628519,79,-21.3393,55.4781,71.56,16.11
Saint Paul Harbor,90,US,1624628519,87,57.79,-152.4072,47.71,11.5
Nelson Bay,0,AU,1624628519,88,-32.7167,152.15,55.96,12.59
Synya,100,RU,1624628520,61,65.3718,58.0387,68.02,6.26
Ranong,93,TH,1624628520,83,9.9658,98.6348,78.73,6.91
Los Llanos de Aridane,75,ES,1624628520,70,28.6585,-17.9182,69.55,5.75
Cururupu,1,BR,1624628521,60,-1.8283,-44.8683,85.77,5.19
Parāsia,100,IN,1624628521,78,22.2,78.7667,75.07,5.68
Deputatsky,3,RU,1624628521,44,69.3,139.9,60.39,2.17
Caravelas,0,BR,1624628521,48,-17.7125,-39.2481,78.21,5.93
Nome,90,US,1624628356,87,64.5011,-165.4064,50.07,0.0
Port Blair,75,IN,1624628522,79,11.6667,92.75,82.69,13.31
Hirara,71,JP,1624628522,80,24.8,125.2833,82.96,19.28
Ahipara,100,NZ,1624628523,91,-35.1667,173.1667,54.82,7.25
Santiago,100,CL,1624628393,86,-33.4569,-70.6483,42.51,1.32
Yanam,50,IN,1624628523,54,16.7333,82.2167,88.2,6.22
Agirish,76,RU,1624628523,31,61.9247,63.0231,75.96,6.24
Makakilo City,1,US,1624628523,81,21.3469,-158.0858,72.28,3.44
Plouzané,90,FR,1624628524,100,48.3833,-4.6167,60.82,11.5
Hong Kong,100,HK,1624628450,89,22.2855,114.1577,84.38,1.01
Lieksa,40,FI,1624628524,57,63.3167,30.0167,70.77,4.05
Arzgir,0,RU,1624628524,16,45.3728,44.2206,99.09,9.91
Erciş,0,TR,1624628525,18,39.0287,43.3586,80.2,12.1
Poum,95,NC,1624628525,72,-20.2333,164.0167,72.77,15.73
Tokur,100,RU,1624628525,98,53.1333,132.9,50.68,3.78
Sisimiut,100,GL,1624628526,69,66.9395,-53.6735,44.98,12.1
Boa Vista,90,BR,1624628526,78,2.8197,-60.6733,80.58,5.75
Peniche,58,PT,1624628253,77,39.3558,-9.3811,95.76,11.07
Olinda,40,BR,1624628526,65,-8.0089,-34.8553,78.53,16.11
Lodwar,100,KE,1624628527,27,3.1191,35.5973,92.01,11.27
Damietta,0,EG,1624628527,64,31.4165,31.8133,84.09,14.25
Nadym,61,RU,1624628527,32,65.5333,72.5167,59.22,13.09
Khovu-Aksy,100,RU,1624628527,94,51.1333,93.6,47.82,7.58
Pisco,90,PE,1624628528,82,-13.7,-76.2167,60.85,4.61
Lingao,94,CN,1624628528,78,19.9103,109.6859,83.43,1.34
Vila Velha,20,BR,1624628245,62,-20.3297,-40.2925,76.95,5.75
Fairlie,85,GB,1624628528,61,55.756,-4.8556,60.42,5.99
Ossora,100,RU,1624628529,91,59.2353,163.0719,47.1,0.34
Gorontalo,30,ID,1624628529,94,0.5412,123.0595,75.18,2.57
Hilo,90,US,1624628529,78,19.7297,-155.09,81.28,3.44
Orocué,100,CO,1624628530,78,4.7912,-71.3354,80.78,2.1
Fountain,1,US,1624628273,71,38.6822,-104.7008,69.06,10.36
Ilulissat,75,GL,1624628530,87,69.2167,-51.1,41.02,4.61
Ponta do Sol,3,PT,1624628530,61,32.6667,-17.1,73.71,1.79
Brandon,75,US,1624628531,57,27.9378,-82.2859,80.04,1.01
Bereda,5,ES,1624628531,44,43.2686,-7.5406,75.42,5.61
Chul'man,1,RU,1624628531,86,56.8479,124.9104,59.02,2.93
Kapit,100,MY,1624628531,99,2.0167,112.9333,73.69,1.7
Beloha,11,MG,1624628532,56,-25.1667,45.05,69.24,10.78
La Asuncion,67,VE,1624628532,100,11.0333,-63.8628,76.73,6.91
Teya,100,RU,1624628532,91,60.3778,92.6267,55.63,4.59
Bay Roberts,1,CA,1624628533,55,47.5999,-53.2648,76.51,8.01
Duku,95,NG,1624628533,46,11.2361,4.9073,91.58,3.87
Tezu,69,IN,1624628533,97,27.9167,96.1667,77.05,3.29
Būlaevo,85,KZ,1624628398,62,54.9056,70.4439,65.84,2.42
Kenai,90,US,1624628533,91,60.5544,-151.2583,49.14,0.0
Barrow,90,US,1624628534,86,71.2906,-156.7887,33.82,16.11
Le Vauclin,75,MQ,1624628534,74,14.5452,-60.8388,84.25,13.8
Juri,0,KR,1624628534,88,35.7504,128.6249,68.56,1.14
Monforte de Lemos,95,ES,1624628535,38,42.5216,-7.5142,86.29,2.91
Gualaquiza,69,EC,1624628535,90,-3.4,-78.55,65.34,1.1
Shenjiamen,100,CN,1624628535,93,29.9576,122.298,74.25,8.86
Telgte,75,DE,1624628404,55,51.9833,7.7833,73.35,6.91
Baishishan,42,CN,1624628536,80,43.5833,127.5667,64.81,3.24
Zhanjiang,100,CN,1624628361,85,21.2815,110.3427,81.64,8.68
Teahupoo,19,PF,1624628536,79,-17.8333,-149.2667,73.36,15.39
Roebourne,18,AU,1624628536,40,-20.7833,117.1333,63.19,13.42
Colón,100,PA,1624628536,85,9.3592,-79.9014,81.25,1.99
Luwuk,17,ID,1624628537,86,-0.9516,122.7875,77.9,3.13
Mahajanga,20,MG,1624628537,51,-15.7167,46.3167,84.22,6.91
Ariogala,49,LT,1624628537,74,55.2667,23.4667,81.59,9.19
Kachug,6,RU,1624628538,62,53.9606,105.8817,62.11,1.28
Thompson,75,CA,1624628538,88,55.7435,-97.8558,57.36,9.22
Bambous Virieux,20,MU,1624628538,53,-20.3428,57.7575,75.45,9.22
Kasongo-Lunda,4,CD,1624628538,20,-6.4667,16.8167,97.12,3.36
Quatre Cocos,24,MU,1624628539,67,-20.2078,57.7625,75.31,11.39
Kādīpur,100,IN,1624628539,80,26.1667,82.3833,81.09,4.12
Narsaq,75,GL,1624628539,75,60.9167,-46.05,48.42,2.44
Verkhnyaya Inta,100,RU,1624628540,63,65.9811,60.3094,66.45,8.25
Ishigaki,72,JP,1624628540,80,24.3448,124.1572,83.35,17.76
Garbolovo,63,RU,1624628540,72,60.3413,30.4955,79.79,4.54
Mayumba,67,GA,1624628541,80,-3.432,10.6554,76.42,9.42
Bo Rai,100,TH,1624628541,93,12.5728,102.5371,77.38,3.13
Beringovskiy,35,RU,1624628541,70,63.05,179.3167,43.5,13.2
Nabire,100,ID,1624628541,90,-3.3667,135.4833,75.94,3.4
San Ignacio,0,BZ,1624628542,88,17.1561,-89.0714,75.34,0.0
Cabo San Lucas,71,MX,1624628542,79,22.8909,-109.9124,81.41,8.99
Taoudenni,4,ML,1624628542,6,22.6783,-3.9836,114.84,6.22
Shitanjing,65,CN,1624628543,20,39.2342,106.3439,80.91,5.48
Neaua,100,RO,1624628543,74,46.4833,24.8333,84.58,4.88
Kindu,66,CD,1624628543,36,-2.95,25.95,90.93,1.48
Iqaluit,90,CA,1624628528,81,63.7506,-68.5145,37.13,8.99
Doha,0,QA,1624628374,19,25.2867,51.5333,111.51,6.91
Moerai,100,PF,1624628543,82,-22.4333,-151.3333,74.68,19.86
Sawtell,90,AU,1624628544,92,-30.3833,153.1,59.18,5.75
Bāndarban,62,BD,1624628544,98,22.1965,92.2262,83.91,3.02
Péta,37,GR,1624628544,29,39.1667,21.0347,104.02,4.81
Dumraon,100,IN,1624628545,71,25.55,84.15,86.32,8.39
Oil City,100,US,1624628545,65,41.4339,-79.7064,72.66,3.0
Livingstone,0,ZM,1624628545,21,-17.8419,25.8543,80.37,4.38
Byron Bay,100,AU,1624628545,92,-28.65,153.6167,66.15,4.65
Itarema,27,BR,1624628546,55,-2.9248,-39.9167,86.16,11.01
Vancouver,75,CA,1624628303,86,49.2497,-123.1193,68.99,1.99
Karaton,39,ID,1624628546,91,-6.3424,106.1045,78.96,0.18
Soe,35,ID,1624628546,95,-9.8607,124.284,66.02,4.47
Port Elizabeth,0,ZA,1624628337,23,-33.918,25.5701,75.49,12.66
Jesolo,48,IT,1624628547,60,45.5331,12.6448,90.05,8.05
Ordynskoye,100,RU,1624628547,78,54.3656,81.8994,55.63,4.65
Nerchinsk,17,RU,1624628547,82,51.9833,116.5833,64.6,2.13
Pārsābād,0,IR,1624628548,23,39.6482,47.9174,100.72,6.91
Eyl,100,SO,1624628548,54,7.9803,49.8164,86.18,26.26
Grand Island,40,US,1624628548,86,40.925,-98.342,70.09,1.01
Fortuna,90,US,1624628548,70,40.5982,-124.1573,55.65,0.0
Basi,93,IN,1624628549,32,26.8333,76.0333,89.94,14.61
Itum-Kale,1,RU,1624628549,51,42.7356,45.5758,85.6,6.13
Manokwari,100,ID,1624628549,81,-0.8667,134.0833,78.98,1.95
Mahébourg,20,MU,1624628550,53,-20.4081,57.7,75.49,9.22
Fare,6,PF,1624628550,79,-16.7,-151.0167,80.35,13.96
Beipiao,100,CN,1624628550,87,41.7919,120.7792,66.02,17.31
Gualaceo,11,EC,1624628550,72,-2.9,-78.7833,56.86,2.77
Rajanpur,0,PK,1624628551,16,29.1035,70.325,108.0,12.82
Bousso,13,TD,1624628551,25,10.4795,16.7117,100.26,7.25
La Reforma,9,MX,1624628551,77,25.0833,-108.05,82.74,5.86
Muros,84,ES,1624628551,46,42.7762,-9.0603,87.67,4.59
Takaka,100,NZ,1624628552,92,-40.85,172.8,60.57,11.27
Sterlibashevo,28,RU,1624628552,64,53.4376,55.2578,82.47,7.7
Funadhoo,86,MV,1624628552,76,6.15,73.2667,83.05,14.09
Safi,15,MA,1624628553,76,32.2994,-9.2372,71.22,11.95
Ijuí,0,BR,1624628435,75,-28.3878,-53.9147,59.02,8.75
La Massana,21,AD,1624628553,46,42.5667,1.4833,68.85,3.89
Ostrovnoy,98,RU,1624628553,78,68.0531,39.5131,54.82,9.31
Caculé,0,BR,1624628554,41,-14.5033,-42.2222,78.24,6.93
Penzance,20,GB,1624628554,72,50.1186,-5.5371,60.12,17.27
Pangnirtung,90,CA,1624628554,100,66.1451,-65.7125,39.2,14.97
Ulaangom,100,MN,1624628554,48,49.9811,92.0667,58.86,17.45
Moindou,97,NC,1624628555,67,-21.6924,165.677,64.35,6.91
Matagami,75,CA,1624628555,82,49.7502,-77.6328,66.31,13.8
Castelo Branco,67,PT,1624628555,18,39.8222,-7.4909,88.79,1.3
Bilibino,84,RU,1624628555,73,68.0546,166.4372,47.16,4.9
Oistins,20,BB,1624628556,61,13.0667,-59.5333,84.29,18.41
Manta,75,EC,1624628285,83,-0.95,-80.7333,74.98,0.0
Leirvik,40,NO,1624628556,72,59.7798,5.5005,66.61,5.75
Khāsh,0,IR,1624628556,4,28.2211,61.2158,91.71,22.3
Nueva Guinea,100,NI,1624628557,91,11.6876,-84.4562,75.13,6.26
Kutum,21,SD,1624628557,12,14.2,24.6667,96.26,15.46
Megion,100,RU,1624628557,59,61.0296,76.1136,60.82,3.78
Virginia Beach,75,US,1624628522,77,36.8529,-75.978,77.02,5.75
Paragominas,7,BR,1624628558,57,-2.9667,-47.4833,85.37,3.87
Sur,0,OM,1624628558,39,22.5667,59.5289,97.02,9.53
Sambava,18,MG,1624628558,69,-14.2667,50.1667,74.43,12.75
Yershichi,6,RU,1624628558,52,53.6725,32.7542,89.2,7.31
Margate,100,GB,1624628559,95,51.3813,1.3862,67.86,10.85
Quepos,90,CR,1624628559,74,9.4236,-84.1652,85.59,1.05
Joinville,20,BR,1624628559,82,-26.3044,-48.8456,75.36,1.01
Chui,10,UY,1624628560,68,-33.6971,-53.4616,54.57,8.97
Concordia,90,AR,1624628560,100,-31.393,-58.0209,46.47,3.44
Saint Anthony,1,US,1624628560,64,45.0205,-93.218,76.1,1.01
Pevek,2,RU,1624628560,87,69.7008,170.3133,32.25,3.2
Aden,100,YE,1624628561,69,12.7794,45.0367,88.74,5.41
Arti,95,RU,1624628561,72,56.4234,58.5328,76.33,2.91
Epe,85,NG,1624628561,73,6.5841,3.9834,84.15,5.1
Mana,6,GF,1624628562,65,5.6592,-53.7767,84.02,10.42
Gladstone,90,AU,1624628562,88,-23.85,151.25,67.93,1.14
Mago,74,RU,1624628562,97,53.2514,140.1822,50.11,4.03
Lerwick,46,GB,1624628562,77,60.1545,-1.1494,55.4,23.22
Pucallpa,40,PE,1624628563,89,-8.3791,-74.5539,78.84,3.44
Talnakh,96,RU,1624628563,50,69.4865,88.3972,51.89,21.92
Mabaruma,60,GY,1624628563,72,8.2,-59.7833,83.89,4.76
Digby,18,CA,1624628483,61,44.6169,-65.7655,69.69,4.0
Ayna,55,PE,1624628563,71,-12.65,-73.9167,63.1,2.66
Rawson,0,AR,1624628564,44,-43.3002,-65.1023,47.46,24.16
